province,city_level,place,place_cln,date_start,date_end,sah_original,sah_standard,source,notes,et_manual
Anhui,province,,,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Bengbu,Bengbu,2020-02-03,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Fuyang,Fuyang,2020-02-05,2020-02-08,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Hefei,Hefei,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,drop
Anhui,prefecture,Hefei,Hefei,2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Hefei,Hefei,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Huaibei,Huaibei,2020-02-03,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Ma'anshan,Maanshan,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Anhui,prefecture,Maanshan,Maanshan,2020-02-06,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Beijing,province,,,2020-02-10,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Beijing,province,,,2020-02-10,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Chongqing,province,,,2020-02-08,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Chongqing,district,Jiangjin,Jiangjin,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Chongqing,district,Liangping,Liangping,2020-01-31,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Chongqing,district,Wanzhou,Wanzhou,2020-01-31,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Fujian,prefecture,Fuzhou,Fuzhou,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Fujian,prefecture,Fuzhou,Fuzhou,2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Fujian,prefecture,Fuzhou,Fuzhou,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Gansu,prefecture,Lanzhou,Lanzhou,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Gansu,prefecture,Lanzhou,Lanzhou,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Dongguan,Dongguan,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Dongguan,Dongguan,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Foshan,Foshan,2020-02-08,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Foshan,Foshan,2020-02-08,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Guangzhou,Guangzhou,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Guangzhou,Guangzhou,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Huizhou,Huizhou,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Huizhou,Huizhou,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Shenzhen,Shenzhen,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Shenzhen,Shenzhen,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangdong,prefecture,Zhuhai,Zhuhai,2020-02-06,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guangdong,prefecture,Zhuhai,Zhuhai,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangxi,prefecture,Fangchenggang,Fangchenggang,2020-02-02,2020-02-08,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
