"","country_code3","X","country","country_code2","temp","announce","start","end","enforce","group","country_territory_area","area_covered","who_measure","measure_stage","comments","enforcement","non_compliance_penalty","date_start_cln","date_end_cln","admin_level_cln","enforcement_cln","compliance_cln","targeted_cln","lockdown_flg_v1"
"1","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","new","Mandatory curfew between 9pm and 6am everyday came into effect on Saturday March 21. It was initially announced till 31 March. People were not allowed to leave home during the curfew hours, and advised to stay home during normal hours.  Source: https://web.archive.org/web/20200427124642/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/ The Police Department of Aruba has announced that they will be enforcing the curfew that starts on Saturday 21 of March 2020 at 9:00 pm. Some exceptions require being outside during the curfew, like security personnel, hotel employers, waste management, etc. but they have to send an official company letter by email  requesting an exemption.  Retrieved from:  /web/20200406203242/https://www.overheid.aw/news/news_47033/item/police-of-aruba-aruba-under-curfew_48686.html","Monitored","Not known",2020-03-21,2020-03-29,"national","monitored","not known","partial curfew",FALSE
"2","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","modification","Starting March 29, 2020, a Shelter in Place is into effect for the entire population along with the ongoing curfew. Individuals are not allowed to leave the house, except only for necessary things, such as buying food, going to the pharmacy, exercising or getting gas. The night curfew and shelter in Place have been extended till 28 April on 17 April.  Sources: https://web.archive.org/web/20200402180605/https://www.overheid.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html  https://web.archive.org/web/20200427122713/https://www.worldaware.com/covid-19-alert-aruba-extends-shelter-place-order-nightly-curfew-through-april-28","Monitored","Not known",2020-03-29,2020-04-10,"national","monitored","not known","partial curfew, stay at home",TRUE
"3","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","modification","On 10th April (Good Friday), 12th April (Easter Sunday) and 13th April (Easter Monday) shelter in place rules were stricter. People were strictly allowed to leave homes for health reasons. The ban on gatherings (on foot or in a vehicle) of 4 or more persons will be extended to include families (except while at home under the same roof). The only valid reasons for leaving one's home will be to visit a doctor; to go to the pharmacy and for food services. All establishments will be closed on these days except for gas stations (open from 7am to 7pm), pharmacies, food delivery/takeout/drive-thru services (11am to 7pm). On 11th April and from 14th April, previous shelter in place rules reverted to the previous status.  Source: https://web.archive.org/web/20200427124642/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/","Monitored","Not known",2020-04-10,2020-04-14,"national","monitored","not known","partial curfew, stay at home",TRUE
"4","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","modification","From 14th of April shelter in place rules reverted to their status prior to Easter Holiday. Source: https://web.archive.org/web/20200427124642/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/","Monitored","Not known",2020-04-14,2020-03-29,"national","monitored","not known","partial curfew, stay at home",TRUE
"5","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","phase-out","On 28 April 2020, the Government of Aruba, adapted curfew to be in effect from 10:00 pm until 5:00 am. All establishments must close at 9.00 pm. Exceptions are the pharmacies on duty and the hospital. See Official Official Gazette AB2020No.62 and Aruba Government Portal, archived: https://web.archive.org/web/20200501073400/http://www.gobierno.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html","Monitored","Not known",2020-04-28,2020-05-18,"national","monitored","not known","partial curfew",FALSE
"6","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","extension","Curfew still in place from 10pm - 5am    https://web.archive.org/web/20200521213219/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/","Monitored","Not known",2020-05-18,2020-05-21,"national","monitored","not known","partial curfew",FALSE
"7","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","phase-out","Curfew still in place. The new curfew time will be be 11pm to 5am from May 21.    https://web.archive.org/web/20200521213219/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/","Monitored","Not known",2020-05-21,2020-05-28,"national","monitored","not known","partial curfew",FALSE
"8","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","finish","Curfew eliminated on May 28 after previous reduction on May 25.    Government website explainer of actions taken:  https://www.arubacovid19.org/ddg","Not applicable","Not applicable",2020-05-28,2020-05-28,"national","not applicable","not applicable","partial curfew",FALSE
"9","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","","Stay-at-home order","phase-out","Government guidance for employers in the ""new normal"" states that if possible, it is recommended that employees work from home as much as possible and/or  introduce flexible working hours.    https://web.archive.org/web/20200624204102/https://8f39937c-2835-4a9d-b0e9-4a8971f34620.filesusr.com/ugd/1a09f9_534e457d559e409c9993b3ab89a6b573.pdf    General government guidance includes recommendations for physical/social distancing, assuming to generally refer recommending staying at home (though recommendations for work and sport are still provided).    http://archive.fo/Xi1jc","Recommended","Not known",2020-06-10,NA,"national","recommended","not known","stay-at-home",TRUE
"10","AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","","Stay-at-home order","extension","Recommended stay-at-home orders extended. People asked to avoid participating in festivals and gatherings and limit movement","Recommended","Not applicable",2020-03-05,2020-05-02,"national","recommended","not applicable","",FALSE
