policy_id,province_region,response_level,date_announce,date_start,source type,link,policy_facemask,policy_business,policy_institution,policy_office,policy_school,created_by,verified_by,verification_action,verification_notes
P13,Anhui,Level I,1/24/2020,1/24/2020,Government announcement,http://www.ah.gov.cn/zwyw/jryw/8256031.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P14,Anhui,Level II,2/25/2020,2/25/2020,Government announcement,http://www.ah.gov.cn/zwyw/jryw/8280171.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P15,Anhui,Level III,3/15/2020,3/15/2020,Government announcement,http://www.ah.gov.cn/zwyw/jryw/8288721.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X26,Beijing,Level I,1/24/2020,1/24/2020,News source,https://baijiahao.baidu.com/s?id=1657781223206640161&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X27,Beijing,Level II,4/29/2020,4/30/2020,News source,https://baijiahao.baidu.com/s?id=1665297578231112663&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X29,Beijing,Level II,6/16/2020,6/16/2020,News source,https://baijiahao.baidu.com/s?id=1669671282252852260&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X28,Beijing,Level III,6/5/2020,6/6/2020,Government announcement,http://www.beijing.gov.cn/ywdt/gzdt/202006/t20200605_1917879.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X30,Beijing,Level III,7/20/2020,7/20/2020,News source,http://www.xinhuanet.com/local/2020-07/20/c_1126258622.htm,L1 - Hygiene,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
P16,Chongqing,Level I,1/25/2020,1/25/2020,Government announcement,http://www.cq.gov.cn/zwxx/jrcq/202001/t20200125_4785639.html,L0 - no announcement,L5 - Closing,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P17,Chongqing,Level II,3/10/2020,3/11/2020,Government announcement,http://www.cq.gov.cn/zwxx/jrcq/202003/t20200310_5675212.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P18,Chongqing,Level III,3/25/2020,3/25/2020,Government announcement,http://www.cq.gov.cn/zwxx/jrcq/202003/t20200325_6033904.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X34,Fujian,Level I,1/24/2020,1/24/2020,News source,http://fj.people.com.cn/n2/2020/0124/c181466-33743382.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X35,Fujian,Level II - var,2/27/2020,2/27/2020,News source,https://www.sohu.com/a/376184205_722840,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,Fujian shows the same special case as Jiangxi
X36,Fujian,Level III,3/19/2020,3/19/2020,Government announcement,http://www.fujian.gov.cn/xw/fjyw/202003/t20200319_5219234.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
