entry_id,policy_id,country,region_scale,region,policy_type,policy_sub_type,policy_measure,policy_scope,target_region_scale,target_region,target_direction,compliance,enforcer,record_type,date_announce,date_start,date_end,date_end_type,event_description,source type,link,created_by,verified_by,verification_notes
FY-60-1,X1,China,national,Beijing,Businesses,Adapting,Hygiene,supermarkets,,,,recommended,municipal_government,new,2/15/2020,2/15/2020,,,"Health protection guide for supermarkets, implemented on 2/15/2020",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,
FY-60-2,X2,China,national,Beijing,Businesses,Adapting,Physical distancing,supermarkets,,,,recommended,municipal_government,new,2/15/2020,2/15/2020,,,"Health protection guide for supermarkets, implemented on 2/15/2020",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,
FY-60-3,X3,China,national,Beijing,Businesses,Adapting,limiting numbers,supermarkets,,,,recommended,municipal_government,new,2/15/2020,2/15/2020,,,"Health protection guide for supermarkets, implemented on 2/15/2020",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,
FY-60-4,X4,China,national,Beijing,Businesses,Closing,Partial closure,supermarkets,,,,recommended,municipal_government,new,2/15/2020,2/15/2020,,,"Health protection guide for supermarkets, implemented on 2/15/2020",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200218_1647596.html,Xinyi,,
GY-1-1,X5,China,municipal,Beijing,Businesses,Adapting,Hygiene,parks,,,,recommended,municipal_government,new,2/17/2020,2/17/2020,,,"Health protection guide for parks, implemented on 2/17/2020",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200217_1645695.html,Xinyi,,
GY-1-2,X6,China,municipal,Beijing,Businesses,Adapting,Physical distancing,parks,,,,recommended,municipal_government,new,2/17/2020,2/17/2020,,,"Health protection guide for parks, implemented on 2/17/2021",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200217_1645695.html,Xinyi,,
GY-1-3,X7,China,municipal,Beijing,Businesses,Closing,,parks,,,,recommended,municipal_government,new,2/17/2020,2/17/2020,,,"Health protection guide for parks, implemented on 2/17/2022",Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200217_1645695.html,Xinyi,,
RS-4,X8,China,national,Beijing,Domestic travel,Restriction movement,Supervision,migrant_workers,national,China,inbound,mandatory,national_government,new,2/19/2020,2/19/2020,,,Announcement on service guarantee for returning to work and production of migrant workers,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202003/t20200312_1697994.html,Xinyi,,
JF-32-1,X9,China,municipal,Beijing,Offices,Adapting,Hygiene,construction industry,,,,mandatory,municipal_government,new,2/19/2020,2/19/2020,,,Announcement on enhance health protection of construction industry offices,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,
JF-32-2,X10,China,municipal,Beijing,Offices,Adapting,Modifying hours,construction industry,,,,mandatory,municipal_government,new,2/19/2020,2/19/2020,,,Announcement on enhance health protection of construction industry offices,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,
JF-32-3,X11,China,municipal,Beijing,Offices,Adapting,limiting numbers,construction industry,,,,mandatory,municipal_government,new,2/19/2020,2/19/2020,,,Announcement on enhance health protection of construction industry offices,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,
JF-32-4,X12,China,municipal,Beijing,Offices,Adapting,Physical distancing,construction industry,,,,mandatory,municipal_government,new,2/19/2020,2/19/2020,,,Announcement on enhance health protection of construction industry offices,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,
JF-32-5,X13,China,municipal,Beijing,Offices,Closing,Partial closure,construction industry,,,,mandatory,municipal_government,new,2/19/2020,2/19/2020,,,Announcement on enhance health protection of construction industry offices,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200220_1662759.html,Xinyi,,
RS-23-1,X14,China,municipal,Beijing,Offices,Adapting,Hygiene,,,,,recommended,municipal_government,new,2/19/2020,2/19/2020,,,Implementation Opinions on resumption of work and production in Enterprises,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672939.html,Xinyi,,
RS-23-2,X15,China,municipal,Beijing,Offices,Adapting,Modifying hours,,,,,recommended,municipal_government,new,2/19/2020,2/19/2020,,,Implementation Opinions on resumption of work and production in Enterprises,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672940.html,Xinyi,,
RS-23-3,X16,China,municipal,Beijing,Offices,Adapting,limiting numbers,,,,,recommended,municipal_government,new,2/19/2020,2/19/2020,,,Implementation Opinions on resumption of work and production in Enterprises,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672941.html,Xinyi,,
RS-23-4,X17,China,municipal,Beijing,Offices,Adapting,Physical distancing,,,,,recommended,municipal_government,new,2/19/2020,2/19/2020,,,Implementation Opinions on resumption of work and production in Enterprises,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200229_1672942.html,Xinyi,,
GF-4-1,X18,China,national,Beijing,Offices,Adapting,Hygiene,,,,,recommended,municipal_government,new,2/22/2020,2/22/2020,,,Guidelines for epidemic prevention and control of Enterprises,Government announcement,http://www.beijing.gov.cn/zhengce/zhengcefagui/202002/t20200222_1666359.html,Xinyi,,
