,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
1,Afghanistan,AFG,1/1/2020,3/24/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_AFG,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,,,,,,
11,Angola,AGO,3/27/2020,5/25/2020,2_required_exceptions,1_general,,NA,,,control,c_AGO,TRUE,TRUE,FALSE,TRUE,3/27/2020,NA,NA,TRUE,,,,FALSE,FALSE
3,Albania,ALB,1/1/2020,3/12/2020,0_no_measures,missing,3/23/2020,3/24/2020,5/31/2020,mandatory,treatment,t_ALB,TRUE,TRUE,FALSE,FALSE,3/13/2020,FALSE,FALSE,,,,,,
12,Angola,AGO,5/26/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_AGO,TRUE,TRUE,FALSE,TRUE,3/27/2020,NA,NA,TRUE,,,,FALSE,FALSE
5,Algeria,DZA,1/1/2020,3/22/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/14/2020,mandatory,treatment,t_DZA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,,,,,,
40,Bahrain,BHR,3/18/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_BHR,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE,,,,FALSE,TRUE
73,Brazil,BRA,3/13/2020,5/4/2020,1_recommended,0_targeted,,NA,,,control,c_BRA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
8,Andorra,AND,1/1/2020,3/12/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_AND,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
74,Brazil,BRA,5/5/2020,5/31/2020,2_required_exceptions,0_targeted,,NA,,,control,c_BRA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
10,Angola,AGO,1/1/2020,3/26/2020,0_no_measures,missing,,NA,,,control,c_AGO,TRUE,TRUE,FALSE,TRUE,3/27/2020,NA,NA,,,,,,
93,Canada,CAN,3/14/2020,3/15/2020,1_recommended,0_targeted,,NA,,,control,c_CAN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE,,,,FALSE,FALSE
94,Canada,CAN,3/16/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_CAN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,update,3/23/2020,3_required,,FALSE,FALSE
13,Anguilla,AIA,1/1/2020,3/26/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_AIA,TRUE,TRUE,FALSE,FALSE,3/27/2020,NA,NA,,,,,,
122,Costa Rica,CRI,4/1/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_CRI,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
15,Anguilla,AIA,4/29/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_AIA,TRUE,TRUE,FALSE,FALSE,3/27/2020,NA,NA,,,,,,
16,Argentina,ARG,1/1/2020,3/18/2020,0_no_measures,missing,3/19/2020,3/20/2020,5/10/2020,mandatory,treatment,t_ARG,TRUE,TRUE,FALSE,FALSE,3/19/2020,TRUE,TRUE,,,,,,
133,Cyprus,CYP,3/24/2020,5/20/2020,2_required_exceptions,1_general,,NA,,,control,c_CYP,TRUE,TRUE,FALSE,TRUE,3/24/2020,NA,NA,TRUE,,,,FALSE,FALSE
134,Cyprus,CYP,5/21/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_CYP,TRUE,TRUE,FALSE,TRUE,3/24/2020,NA,NA,TRUE,,,,FALSE,FALSE
19,Aruba,ABW,1/1/2020,3/20/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,,,,,,
136,Czech Republic,CZE,3/15/2020,4/20/2020,2_required_exceptions,1_general,,NA,,,control,c_CZE,TRUE,TRUE,FALSE,TRUE,3/15/2020,NA,NA,TRUE,,,,FALSE,FALSE
137,Czech Republic,CZE,4/21/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_CZE,TRUE,TRUE,FALSE,TRUE,3/15/2020,NA,NA,TRUE,,,,FALSE,FALSE
149,Dominican Republic,DOM,3/17/2020,4/17/2020,1_recommended,1_general,,NA,,,control,c_DOM,TRUE,TRUE,FALSE,TRUE,4/18/2020,NA,NA,update,3/20/2020,2_required_exceptions,,FALSE,FALSE
150,Dominican Republic,DOM,4/18/2020,4/27/2020,2_required_exceptions,1_general,,NA,,,control,c_DOM,TRUE,TRUE,FALSE,TRUE,4/18/2020,NA,NA,TRUE,,,,FALSE,FALSE
151,Dominican Republic,DOM,4/28/2020,5/17/2020,3_required,1_general,,NA,,,control,c_DOM,TRUE,TRUE,FALSE,TRUE,4/18/2020,NA,NA,TRUE,,,,FALSE,FALSE
