"","countryname","countrycode","date_start","date_end","stay_home","stay_home_flag","announce","start","end","enforce","group","country_label","all_requ","gen_requ","tar_requ","all_reco","date_start_gen_req_min","check1"
"1","Afghanistan","AFG",2020-01-01,2020-03-24,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_AFG",TRUE,FALSE,TRUE,FALSE,NA,NA
"2","Afghanistan","AFG",2020-03-25,2020-05-31,"2_required_exceptions","0_targeted",NA,NA,NA,NA,NA,"na_AFG",TRUE,FALSE,TRUE,FALSE,NA,NA
"3","Albania","ALB",2020-01-01,2020-03-12,"0_no_measures","missing","2020-03-23",2020-03-24,"2020-05-31","mandatory","treatment","t_ALB",TRUE,TRUE,FALSE,FALSE,2020-03-13,FALSE
"4","Albania","ALB",2020-03-13,2020-05-31,"2_required_exceptions","1_general","2020-03-23",2020-03-24,"2020-05-31","mandatory","treatment","t_ALB",TRUE,TRUE,FALSE,FALSE,2020-03-13,FALSE
"5","Algeria","DZA",2020-01-01,2020-03-22,"0_no_measures","missing","2020-03-23",2020-03-23,"2020-05-14","mandatory","treatment","t_DZA",TRUE,FALSE,TRUE,FALSE,NA,FALSE
"6","Algeria","DZA",2020-03-23,2020-04-23,"3_required","0_targeted","2020-03-23",2020-03-23,"2020-05-14","mandatory","treatment","t_DZA",TRUE,FALSE,TRUE,FALSE,NA,FALSE
"7","Algeria","DZA",2020-04-24,2020-05-31,"2_required_exceptions","0_targeted","2020-03-23",2020-03-23,"2020-05-14","mandatory","treatment","t_DZA",TRUE,FALSE,TRUE,FALSE,NA,FALSE
"8","Andorra","AND",2020-01-01,2020-03-12,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_AND",FALSE,FALSE,FALSE,TRUE,NA,NA
"9","Andorra","AND",2020-03-13,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_AND",FALSE,FALSE,FALSE,TRUE,NA,NA
"10","Angola","AGO",2020-01-01,2020-03-26,"0_no_measures","missing","",NA,"","","control","c_AGO",TRUE,TRUE,FALSE,TRUE,2020-03-27,NA
"11","Angola","AGO",2020-03-27,2020-05-25,"2_required_exceptions","1_general","",NA,"","","control","c_AGO",TRUE,TRUE,FALSE,TRUE,2020-03-27,NA
"12","Angola","AGO",2020-05-26,2020-05-31,"1_recommended","1_general","",NA,"","","control","c_AGO",TRUE,TRUE,FALSE,TRUE,2020-03-27,NA
"13","Anguilla","AIA",2020-01-01,2020-03-26,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_AIA",TRUE,TRUE,FALSE,FALSE,2020-03-27,NA
"14","Anguilla","AIA",2020-03-27,2020-04-28,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_AIA",TRUE,TRUE,FALSE,FALSE,2020-03-27,NA
"15","Anguilla","AIA",2020-04-29,2020-05-31,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_AIA",TRUE,TRUE,FALSE,FALSE,2020-03-27,NA
"16","Argentina","ARG",2020-01-01,2020-03-18,"0_no_measures","missing","2020-03-19",2020-03-20,"2020-05-10","mandatory","treatment","t_ARG",TRUE,TRUE,FALSE,FALSE,2020-03-19,TRUE
"17","Argentina","ARG",2020-03-19,2020-04-26,"3_required","1_general","2020-03-19",2020-03-20,"2020-05-10","mandatory","treatment","t_ARG",TRUE,TRUE,FALSE,FALSE,2020-03-19,TRUE
"18","Argentina","ARG",2020-04-27,2020-05-31,"2_required_exceptions","1_general","2020-03-19",2020-03-20,"2020-05-10","mandatory","treatment","t_ARG",TRUE,TRUE,FALSE,FALSE,2020-03-19,TRUE
"19","Aruba","ABW",2020-01-01,2020-03-20,"0_no_measures","missing",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"20","Aruba","ABW",2020-03-21,2020-03-28,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"21","Aruba","ABW",2020-03-29,2020-04-09,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"22","Aruba","ABW",2020-04-10,2020-04-10,"3_required","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"23","Aruba","ABW",2020-04-11,2020-04-11,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"24","Aruba","ABW",2020-04-12,2020-04-13,"3_required","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"25","Aruba","ABW",2020-04-14,2020-05-27,"2_required_exceptions","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
"26","Aruba","ABW",2020-05-28,2020-05-31,"1_recommended","1_general",NA,NA,NA,NA,NA,"na_ABW",TRUE,TRUE,FALSE,TRUE,2020-03-29,NA
