"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"1","Afghanistan","AFG","0_no_measures","missing",2020-01-01,2020-03-24
"2","Afghanistan","AFG","2_required_exceptions","0_targeted",2020-03-25,2020-05-31
"3","Albania","ALB","0_no_measures","missing",2020-01-01,2020-03-12
"4","Albania","ALB","2_required_exceptions","1_general",2020-03-13,2020-05-31
"5","Algeria","DZA","0_no_measures","missing",2020-01-01,2020-03-22
"6","Algeria","DZA","3_required","0_targeted",2020-03-23,2020-04-23
"7","Algeria","DZA","2_required_exceptions","0_targeted",2020-04-24,2020-05-31
"8","Andorra","AND","0_no_measures","missing",2020-01-01,2020-03-12
"9","Andorra","AND","1_recommended","1_general",2020-03-13,2020-05-31
"10","Angola","AGO","0_no_measures","missing",2020-01-01,2020-03-26
"11","Angola","AGO","2_required_exceptions","1_general",2020-03-27,2020-05-25
"12","Angola","AGO","1_recommended","1_general",2020-05-26,2020-05-31
"13","Anguilla","AIA","0_no_measures","missing",2020-01-01,2020-03-26
"14","Anguilla","AIA","2_required_exceptions","1_general",2020-03-27,2020-04-28
"15","Anguilla","AIA","0_no_measures","missing",2020-04-29,2020-05-31
"16","Argentina","ARG","0_no_measures","missing",2020-01-01,2020-03-18
"17","Argentina","ARG","3_required","1_general",2020-03-19,2020-04-26
"18","Argentina","ARG","2_required_exceptions","1_general",2020-04-27,2020-05-31
"19","Aruba","ABW","0_no_measures","missing",2020-01-01,2020-03-20
"20","Aruba","ABW","1_recommended","1_general",2020-03-21,2020-03-28
"21","Aruba","ABW","2_required_exceptions","1_general",2020-03-29,2020-04-09
"22","Aruba","ABW","3_required","1_general",2020-04-10,2020-04-10
"23","Aruba","ABW","2_required_exceptions","1_general",2020-04-11,2020-04-11
"24","Aruba","ABW","3_required","1_general",2020-04-12,2020-04-13
"25","Aruba","ABW","2_required_exceptions","1_general",2020-04-14,2020-05-27
"26","Aruba","ABW","1_recommended","1_general",2020-05-28,2020-05-31
"27","Australia","AUS","0_no_measures","missing",2020-01-01,2020-03-23
"28","Australia","AUS","1_recommended","1_general",2020-03-24,2020-04-01
"29","Australia","AUS","2_required_exceptions","0_targeted",2020-04-02,2020-05-14
"30","Australia","AUS","1_recommended","1_general",2020-05-15,2020-05-24
"31","Australia","AUS","1_recommended","0_targeted",2020-05-25,2020-05-28
"32","Australia","AUS","0_no_measures","missing",2020-05-29,2020-05-31
"33","Austria","AUT","0_no_measures","missing",2020-01-01,2020-03-15
"34","Austria","AUT","2_required_exceptions","1_general",2020-03-16,2020-04-30
"35","Austria","AUT","0_no_measures","missing",2020-05-01,2020-05-31
"36","Azerbaijan","AZE","0_no_measures","missing",2020-01-01,2020-03-30
"37","Azerbaijan","AZE","3_required","1_general",2020-03-31,2020-05-17
"38","Azerbaijan","AZE","1_recommended","1_general",2020-05-18,2020-05-31
"39","Bahrain","BHR","0_no_measures","missing",2020-01-01,2020-03-17
"40","Bahrain","BHR","1_recommended","1_general",2020-03-18,2020-05-31
"41","Bangladesh","BGD","0_no_measures","missing",2020-01-01,2020-03-18
"42","Bangladesh","BGD","2_required_exceptions","0_targeted",2020-03-19,2020-03-24
"43","Bangladesh","BGD","1_recommended","1_general",2020-03-25,2020-04-09
"44","Bangladesh","BGD","2_required_exceptions","1_general",2020-04-10,2020-05-30
"45","Bangladesh","BGD","1_recommended","1_general",2020-05-31,2020-05-31
"46","Barbados","BRB","0_no_measures","missing",2020-01-01,2020-03-27
"47","Barbados","BRB","1_recommended","1_general",2020-03-28,2020-04-02
"48","Barbados","BRB","3_required","1_general",2020-04-03,2020-05-03
