province,city_level,place,place_cln,date_start,date_end,sah_standard,et_manual
Anhui,prefecture,Bengbu,Bengbu,2020-02-03,NA,partial shutdown,TRUE
Anhui,prefecture,Fuyang,Fuyang,2020-02-05,2020-02-08,partial shutdown,TRUE
Anhui,prefecture,Hefei,Hefei,2020-02-05,NA,partial shutdown,TRUE
Anhui,prefecture,Hefei,Hefei,2020-02-05,NA,closed management,TRUE
Anhui,prefecture,Huaibei,Huaibei,2020-02-03,NA,partial shutdown,TRUE
Anhui,prefecture,Ma'anshan,Maanshan,2020-02-06,NA,closed management,TRUE
Anhui,prefecture,Maanshan,Maanshan,2020-02-06,NA,closed management,TRUE
Anhui,province,NA,NA,2020-02-07,NA,closed management,TRUE
Beijing,province,NA,NA,2020-02-10,NA,closed management,TRUE
Chongqing,district,Jiangjin,Jiangjin,2020-02-07,NA,closed management,TRUE
Chongqing,district,Liangping,Liangping,2020-01-31,NA,closed management,TRUE
Chongqing,district,Wanzhou,Wanzhou,2020-01-31,NA,closed management,TRUE
Chongqing,province,NA,NA,2020-02-08,NA,closed management,TRUE
Fujian,prefecture,Fuzhou,Fuzhou,2020-02-04,NA,partial shutdown,TRUE
Fujian,prefecture,Fuzhou,Fuzhou,2020-02-04,NA,closed management,TRUE
Gansu,prefecture,Lanzhou,Lanzhou,2020-02-07,NA,closed management,TRUE
Guangdong,prefecture,Dongguan,Dongguan,2020-02-09,NA,closed management,TRUE
Guangdong,prefecture,Foshan,Foshan,2020-02-08,NA,closed management,TRUE
Guangdong,prefecture,Guangzhou,Guangzhou,2020-02-07,NA,closed management,TRUE
Guangdong,prefecture,Huizhou,Huizhou,2020-02-09,NA,closed management,TRUE
Guangdong,prefecture,Shenzhen,Shenzhen,2020-02-07,NA,closed management,TRUE
Guangdong,prefecture,Zhuhai,Zhuhai,2020-02-06,NA,closed management,TRUE
Guangxi,prefecture,Fangchenggang,Fangchenggang,2020-02-02,2020-02-08,partial shutdown,TRUE
Guangxi,prefecture,Guigang,Guigang,2020-02-02,NA,partial shutdown,TRUE
Guangxi,prefecture,Guilin,Guilin,2020-02-05,NA,partial shutdown,TRUE
Guangxi,district,"Jinchengjiang, Hechi","Jinchengjiang, Hechi",2020-02-05,NA,partial shutdown,TRUE
Guangxi,prefecture,Liuzhou,Liuzhou,2020-02-05,NA,partial shutdown,TRUE
Guangxi,prefecture,Nanning,Nanning,2020-02-05,NA,closed management,TRUE
Guangxi,district,"Yuzhou, Yulin","Yuzhou, Yulin",2020-02-02,2020-02-09,partial shutdown,TRUE
Guizhou,prefecture,Guiyang,Guiyang,2020-02-07,NA,closed management,TRUE
Guizhou,prefecture,Zunyi,Zunyi,2020-02-07,NA,closed management,TRUE
Hainan,prefecture,Haikou,Haikou,2020-02-05,NA,closed management,TRUE
Hainan,prefecture,Sanya,Sanya,2020-02-05,NA,closed management,TRUE
Hebei,prefecture,Shijiazhuang,Shijiazhuang,2020-02-05,NA,closed management,TRUE
Hebei,prefecture,Tangshan,Tangshan,2020-02-07,NA,closed management,TRUE
Hebei,prefecture,Tangshan,Tangshan,2020-02-07,NA,partial shutdown,TRUE
Heilongjiang,prefecture,Haerbin,Harbin,2020-02-04,NA,partial shutdown,TRUE
Heilongjiang,prefecture,Harbin,Harbin,2020-02-04,NA,partial shutdown,TRUE
Heilongjiang,prefecture,Harbin,Harbin,2020-02-04,NA,closed management,TRUE
Heilongjiang,district,Suifenhe,Suifenhe,2020-04-08,NA,partial shutdown,TRUE
Heilongjiang,district,Suifenhe,Suifenhe,2020-04-08,NA,closed management,TRUE
Henan,district,Jia,Jia,2020-03-31,NA,closed management,TRUE
Henan,district,"Yicheng, Zhumadian","Yicheng, Zhumadian",2020-02-04,NA,partial shutdown,TRUE
Henan,prefecture,Zhengzhou,Zhengzhou,2020-02-04,NA,partial shutdown,TRUE
Henan,prefecture,Zhengzhou,Zhengzhou,2020-02-04,NA,closed management,TRUE
Henan,prefecture,Zhumadian,Zhumadian,2020-02-04,NA,partial shutdown,TRUE
Henan,prefecture,Zhumadian,Zhumadian,2020-02-04,NA,closed management,TRUE
Hubei,prefecture,Enshi,Enshi,2020-01-24,NA,complete shutdown,TRUE
Hubei,prefecture,Enshi,Enshi,2020-01-24,2020-03-25,complete shutdown,TRUE
Hubei,prefecture,Enshitujiazumiaozu,Enshitujiazumiaozu,2020-01-24,NA,complete shutdown,TRUE
Hubei,prefecture,Ezhou,Ezhou,2020-01-23,NA,complete shutdown,TRUE
