province,city_level,place_cln,date_start,date_end,sah_standard,flag_any_policy_overlap,flag_shutdown_policy_overlap,flag_date_overlap
Anhui,prefecture,Bengbu,2020-02-03,NA,partial shutdown,FALSE,FALSE,FALSE
Anhui,prefecture,Fuyang,2020-02-05,2020-02-08,partial shutdown,FALSE,FALSE,FALSE
Anhui,prefecture,Hefei,2020-02-05,NA,closed management,TRUE,FALSE,NA
Anhui,prefecture,Hefei,2020-02-05,NA,partial shutdown,FALSE,FALSE,NA
Anhui,prefecture,Hefei,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Anhui,prefecture,Huaibei,2020-02-03,NA,partial shutdown,FALSE,FALSE,FALSE
Anhui,prefecture,Maanshan,2020-02-06,NA,closed management,FALSE,FALSE,NA
Anhui,province,NA,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Beijing,province,NA,2020-02-10,NA,closed management,FALSE,FALSE,FALSE
Chongqing,district,Jiangjin,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Chongqing,district,Liangping,2020-01-31,NA,closed management,FALSE,FALSE,FALSE
Chongqing,district,Wanzhou,2020-01-31,NA,closed management,FALSE,FALSE,NA
Chongqing,province,NA,2020-02-08,NA,closed management,FALSE,FALSE,FALSE
Fujian,prefecture,Fuzhou,2020-02-04,NA,closed management,TRUE,FALSE,NA
Fujian,prefecture,Fuzhou,2020-02-04,NA,partial shutdown,FALSE,FALSE,FALSE
Gansu,prefecture,Lanzhou,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Dongguan,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Foshan,2020-02-08,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Guangzhou,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Huizhou,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Shenzhen,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Guangdong,prefecture,Zhuhai,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Guangxi,prefecture,Fangchenggang,2020-02-02,2020-02-08,partial shutdown,FALSE,FALSE,FALSE
