province_region,area_covered_cln3,province_match,response_level_cln2,date_start_cln,date_end_cln,policies_Domestic travel,policies_Gatherings,policies_Individual,policies_International travel,"policies_Offi, busi, inst",policies_School,policies_Special populations,policies_Surveillance,policies_NA,policies_required_Domestic travel,policies_required_Gatherings,policies_required_Individual,policies_required_International travel,"policies_required_Offi, busi, inst",policies_required_School,policies_required_Special populations,policies_required_Surveillance,policies_required_NA,abs_days_from_start_Domestic travel,abs_days_from_start_Gatherings,abs_days_from_start_Individual,abs_days_from_start_International travel,"abs_days_from_start_Offi, busi, inst",abs_days_from_start_School,abs_days_from_start_Special populations,abs_days_from_start_Surveillance,abs_days_from_start_NA,abs_days_from_end_Domestic travel,abs_days_from_end_Gatherings,abs_days_from_end_Individual,abs_days_from_end_International travel,"abs_days_from_end_Offi, busi, inst",abs_days_from_end_School,abs_days_from_end_Special populations,abs_days_from_end_Surveillance,abs_days_from_end_NA
Anhui,Anhui,TRUE,Level I,2020-01-24,2020-02-24,6,0,1,2,1,1,0,1,0,4,0,0,2,1,0,0,1,0,15,0,0,21.5,10,3,0,0,0,16,0,31,9.5,21,28,0,31,0
Anhui,Anhui,TRUE,Level II,2020-02-25,2020-03-14,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.333333333333334,0,20,3,0,0,0,0,0,14.333333333333334,0,2,21,0,0,0,0,0
Anhui,Anhui,TRUE,Level III,2020-03-15,2020-07-31,3,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,11.333333333333334,0,1,0,0,41.8,0,0,0,126.66666666666667,0,137,0,0,96.2,0,0,0
Beijing,Hong Kong,FALSE,Level I,2020-01-24,2020-04-29,6,8,1,29,32,4,1,8,0,2,5,1,16,9,4,0,1,0,48.666666666666664,58.25,88,49,55.96875,9.5,103,25,0,47.666666666666664,37.75,8,47.55172413793103,41.46875,86.5,7,72.25,0
Beijing,Wuhan,FALSE,Level I,2020-01-24,2020-04-29,7,3,1,2,3,1,0,2,0,5,2,1,1,1,0,0,0,0,58.857142857142854,33.333333333333336,2,46.5,69,103,0,42,0,37.42857142857143,64,98,49.5,27,7,0,57,0
Beijing,China,FALSE,Level I,2020-01-24,2020-04-29,0,2,1,24,3,7,1,7,0,0,1,0,1,1,5,0,0,0,0,3.5,54,70.79166666666667,19,51.57142857142857,75,38.142857142857146,0,0,94.5,42,25.541666666666668,77,44.42857142857143,21,58.142857142857146,0
Beijing,Macao,FALSE,Level I,2020-01-24,2020-04-29,0,4,0,9,3,6,0,0,0,0,4,0,0,3,4,0,0,0,0,25.25,0,40.333333333333336,15,44.333333333333336,0,0,0,0,71.25,0,55.666666666666664,81,53.333333333333336,0,0,0
Beijing,Fuqing,FALSE,Level I,2020-01-24,2020-04-29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
Beijing,Taiwan,FALSE,Level I,2020-01-24,2020-04-29,1,5,6,42,0,3,1,4,0,1,0,0,2,0,1,0,0,0,68,66.2,33.333333333333336,34.45238095238095,0,24.333333333333332,9,26.5,0,28,32.6,62.666666666666664,61.833333333333336,0,71.66666666666667,87,70,0
Beijing,Beijing,TRUE,Level I,2020-01-24,2020-04-29,1,1,0,10,2,2,0,3,0,0,1,0,5,2,0,0,2,0,55,85,0,56.8,47.5,94,0,75.33333333333333,0,41,11,0,39.4,48.5,2,0,21.333333333333332,0
